quality,Id
5,702
6,703
6,704
5,705
6,706
5,707
5,708
6,709
6,710
5,711
6,712
6,713
6,714
5,715
6,716
5,717
5,718
6,719
5,720
6,721
5,722
5,723
6,724
6,725
6,726
6,727
6,728
6,729
6,730
6,731
6,732
6,733
6,734
6,735
5,736
6,737
5,738
5,739
6,740
5,741
6,742
6,743
6,744
6,745
6,746
5,747
6,748
5,749
6,750
6,751
6,752
6,753
6,754
5,755
6,756
6,757
6,758
5,759
6,760
5,761
5,762
6,763
6,764
6,765
6,766
5,767
6,768
6,769
5,770
6,771
6,772
6,773
6,774
6,775
5,776
6,777
6,778
6,779
5,780
6,781
6,782
6,783
6,784
6,785
6,786
6,787
6,788
6,789
6,790
6,791
6,792
6,793
6,794
6,795
6,796
5,797
5,798
5,799
6,800
5,801
6,802
6,803
6,804
6,805
5,806
5,807
6,808
5,809
5,810
6,811
6,812
6,813
5,814
6,815
6,816
5,817
6,818
6,819
6,820
6,821
6,822
6,823
6,824
6,825
5,826
5,827
6,828
6,829
6,830
6,831
5,832
6,833
5,834
5,835
6,836
6,837
6,838
6,839
6,840
6,841
6,842
5,843
6,844
5,845
5,846
6,847
5,848
6,849
6,850
5,851
6,852
6,853
6,854
6,855
6,856
6,857
5,858
6,859
6,860
6,861
5,862
6,863
5,864
5,865
6,866
6,867
6,868
6,869
6,870
5,871
5,872
5,873
6,874
5,875
6,876
6,877
6,878
5,879
6,880
6,881
5,882
6,883
6,884
6,885
6,886
6,887
5,888
5,889
6,890
5,891
6,892
6,893
5,894
6,895
6,896
6,897
6,898
6,899
6,900
6,901
5,902
5,903
6,904
6,905
6,906
6,907
5,908
6,909
6,910
5,911
5,912
6,913
5,914
5,915
6,916
6,917
6,918
6,919
6,920
5,921
5,922
6,923
6,924
6,925
6,926
6,927
5,928
6,929
5,930
6,931
5,932
5,933
5,934
6,935
5,936
5,937
6,938
6,939
5,940
6,941
6,942
5,943
6,944
6,945
5,946
6,947
6,948
5,949
6,950
6,951
6,952
6,953
5,954
6,955
6,956
6,957
6,958
6,959
6,960
5,961
5,962
6,963
6,964
6,965
6,966
5,967
6,968
5,969
6,970
6,971
5,972
6,973
6,974
5,975
5,976
6,977
6,978
6,979
6,980
6,981
6,982
6,983
6,984
6,985
6,986
5,987
6,988
6,989
6,990
5,991
6,992
5,993
6,994
6,995
6,996
6,997
6,998
6,999
5,1000
6,1001
6,1002
6,1003
5,1004
6,1005
6,1006
6,1007
6,1008
6,1009
5,1010
5,1011
6,1012
6,1013
5,1014
5,1015
6,1016
6,1017
6,1018
6,1019
6,1020
6,1021
6,1022
6,1023
6,1024
6,1025
6,1026
6,1027
6,1028
6,1029
6,1030
5,1031
6,1032
5,1033
6,1034
6,1035
6,1036
6,1037
5,1038
5,1039
6,1040
5,1041
6,1042
6,1043
5,1044
6,1045
5,1046
5,1047
5,1048
6,1049
6,1050
6,1051
6,1052
6,1053
5,1054
5,1055
6,1056
6,1057
6,1058
6,1059
6,1060
6,1061
5,1062
6,1063
6,1064
5,1065
6,1066
5,1067
6,1068
6,1069
6,1070
5,1071
6,1072
6,1073
5,1074
6,1075
5,1076
5,1077
6,1078
5,1079
5,1080
6,1081
6,1082
6,1083
6,1084
6,1085
6,1086
6,1087
6,1088
5,1089
5,1090
6,1091
6,1092
6,1093
5,1094
6,1095
6,1096
6,1097
6,1098
6,1099
5,1100
6,1101
6,1102
6,1103
5,1104
6,1105
6,1106
5,1107
6,1108
6,1109
6,1110
6,1111
5,1112
6,1113
6,1114
6,1115
5,1116
6,1117
6,1118
6,1119
5,1120
5,1121
6,1122
6,1123
5,1124
6,1125
5,1126
5,1127
5,1128
6,1129
6,1130
6,1131
5,1132
6,1133
6,1134
6,1135
6,1136
6,1137
6,1138
6,1139
6,1140
6,1141
6,1142
6,1143
5,1144
5,1145
5,1146
6,1147
6,1148
5,1149
6,1150
6,1151
6,1152
6,1153
6,1154
5,1155
5,1156
6,1157
6,1158
6,1159
6,1160
6,1161
6,1162
6,1163
6,1164
6,1165
6,1166
6,1167
6,1168
6,1169
6,1170
6,1171
6,1172
6,1173
6,1174
5,1175
5,1176
6,1177
5,1178
5,1179
6,1180
5,1181
6,1182
6,1183
6,1184
6,1185
6,1186
6,1187
6,1188
6,1189
6,1190
6,1191
6,1192
6,1193
6,1194
5,1195
5,1196
6,1197
6,1198
6,1199
6,1200
6,1201
6,1202
5,1203
6,1204
5,1205
5,1206
6,1207
5,1208
5,1209
6,1210
6,1211
6,1212
6,1213
6,1214
6,1215
6,1216
5,1217
6,1218
6,1219
6,1220
6,1221
6,1222
6,1223
6,1224
5,1225
6,1226
6,1227
6,1228
6,1229
6,1230
5,1231
6,1232
6,1233
6,1234
6,1235
5,1236
6,1237
6,1238
6,1239
6,1240
6,1241
6,1242
5,1243
6,1244
6,1245
6,1246
5,1247
6,1248
5,1249
6,1250
6,1251
6,1252
6,1253
6,1254
5,1255
6,1256
6,1257
5,1258
6,1259
6,1260
6,1261
6,1262
5,1263
6,1264
6,1265
6,1266
5,1267
6,1268
6,1269
6,1270
5,1271
6,1272
6,1273
6,1274
5,1275
6,1276
5,1277
6,1278
6,1279
5,1280
5,1281
6,1282
6,1283
6,1284
6,1285
5,1286
6,1287
5,1288
5,1289
6,1290
6,1291
6,1292
6,1293
6,1294
6,1295
6,1296
6,1297
5,1298
5,1299
6,1300
6,1301
5,1302
6,1303
6,1304
6,1305
5,1306
6,1307
6,1308
6,1309
6,1310
6,1311
6,1312
6,1313
6,1314
6,1315
6,1316
5,1317
6,1318
5,1319
6,1320
5,1321
6,1322
6,1323
6,1324
5,1325
6,1326
6,1327
5,1328
6,1329
6,1330
5,1331
5,1332
6,1333
6,1334
5,1335
6,1336
6,1337
5,1338
6,1339
6,1340
5,1341
6,1342
5,1343
6,1344
6,1345
6,1346
6,1347
5,1348
6,1349
6,1350
6,1351
5,1352
6,1353
5,1354
5,1355
5,1356
5,1357
5,1358
6,1359
6,1360
6,1361
6,1362
5,1363
6,1364
6,1365
6,1366
6,1367
6,1368
5,1369
5,1370
6,1371
